cust_id,dev_id,device_name,line,released,dob,postcode,sex,pronouns,emoji_modifier,age
0000af7e-418a-402d-a7c4-0dfe2d7eafcb,mg-2020-909,Run BE,Run,2020-11-20,1967-04-22,G1L4S3,Male,he/him,U+1F3FF,54
00084c10-8e0f-4ab9-a9b8-2e5eef964f60,mg-2020-909,Run BE,Run,2020-11-20,1965-05-17,T6K1K5,Female,she/her,NA,56
00092283-3131-44a5-be65-c802a6a38fd4,mg-2021-960,Advance 2,Advance,2021-07-08,1981-06-29,T2M1K8,Male,he/him,NA,40
000bbf08-551c-41c3-8ae2-c136d33e721d,mg-2021-960,Advance 2,Advance,2021-07-08,1944-05-19,M4L1W3,Male,he/him,U+1F3FD,77
00128697-9e88-44ce-b57f-5859cff6bc09,mg-2021-987,Run ON,Run,2021-12-04,1992-06-30,M4S1K3,Male,he/him,U+1F3FF,29
0014164a-f65a-4324-b58f-11f3576a5f54,mg-2021-987,Run ON,Run,2021-12-04,1970-07-18,M3H5B7,Female,she/her,NA,51
00146c9e-16c3-43ae-b2e7-b2d56f9343e8,mg-2021-960,Advance 2,Advance,2021-07-08,1975-01-25,T2P0J6,Female,she/her,U+1F3FC,47
0014b3d9-7f56-4321-b2b7-9f06bab0dac2,mg-2020-909,Run BE,Run,2020-11-20,1969-05-21,V7C4V7,Male,he/him,NA,52
00153635-09d2-4500-8513-0d50d87a8110,mg-2021-960,Advance 2,Advance,2021-07-08,1960-09-03,T2C0X9,Male,he/him,U+1F3FC,61
00169e8f-f855-4bbf-8138-7f5a1fdd1991,mg-2021-987,Run ON,Run,2021-12-04,1988-12-20,L4Z3K2,Female,she/her,U+1F3FB,33
001ae3ef-da49-4ce6-bfc9-71d119ec8f03,mg-2020-658,Active Alpha,Active,2020-12-30,1950-01-28,H2V3G9,Female,she/her,U+1F3FF,72
001fa5b5-03e0-401c-9291-0a60c4d5a846,mg-2020-909,Run BE,Run,2020-11-20,1980-12-09,H3C0R7,Female,she/her,U+1F3FD,41
0020d464-ed55-4d28-8719-1d473e74e57c,mg-2021-987,Run ON,Run,2021-12-04,1931-07-24,M3H2R7,Female,she/her,NA,90
0020e97e-7868-4179-a79d-b3339c1f9cd2,mg-2021-960,Advance 2,Advance,2021-07-08,1959-02-07,L6V3E3,Female,she/her,U+1F3FB,63
0023e3e9-4742-4e54-8e27-5b243b4c1b50,mg-2021-960,Advance 2,Advance,2021-07-08,1999-03-28,K1Y2G9,Female,she/her,U+1F3FD,23
00256dc2-1f35-4691-9fdb-dd4625cc5241,mg-2021-960,Advance 2,Advance,2021-07-08,1994-08-26,T6C3S4,Male,he/him,U+1F3FB,27
0026d83d-e730-490e-8497-a1a8b0d6c7fa,mg-2020-909,Run BE,Run,2020-11-20,1994-04-23,M4C1Z4,Female,she/her,U+1F3FB,27
00289c86-377a-451e-a1a9-f70a63de9e40,mg-2021-960,Advance 2,Advance,2021-07-08,1955-09-09,M4E2C4,Male,he/him,U+1F3FE,66
002cc1f4-cc2a-434e-983c-4bdc340e9e8f,mg-2019-517,Run 875,Run,2019-09-12,1995-03-21,K1C2L4,Female,she/her,NA,27
002d3efd-587e-4fe6-a741-136e1e85385e,mg-2020-658,Active Alpha,Active,2020-12-30,1937-10-11,K1L5X1,Female,she/her,U+1F3FB,84
002fe83c-253e-47f3-b45d-bb57769b1669,mg-2021-960,Advance 2,Advance,2021-07-08,1977-10-09,H2K2R5,Male,he/him,NA,44
003da6ad-5a6a-46c2-b2bb-3e8fed84f340,mg-2020-909,Run BE,Run,2020-11-20,1956-12-30,M6R1V8,Female,she/her,U+1F3FF,65
0043a072-7ceb-448e-9f39-464cc0b41c82,mg-2021-987,Run ON,Run,2021-12-04,1967-08-23,L5B2W5,Female,she/her,U+1F3FB,54
00445d49-ee05-4af3-87c5-7f606e2c89a0,mg-2021-960,Advance 2,Advance,2021-07-08,1994-09-10,M6B1G1,Female,she/her,U+1F3FC,27
00446b8c-07d0-49d2-8d62-b1c99fdeab7a,mg-2021-987,Run ON,Run,2021-12-04,1970-05-30,M2L1V9,Male,he/him,U+1F3FB,51
004a12d0-af7e-423f-b105-0fe5a8e68525,mg-2021-960,Advance 2,Advance,2021-07-08,1986-04-25,T3M0B5,Male,he/him,U+1F3FB,35
004fd6b1-efd6-47c6-ae22-b7e0461c51b1,mg-2021-960,Advance 2,Advance,2021-07-08,1972-08-28,L5L3L7,Male,he/him,U+1F3FC,49
00537bc6-8d51-4fe9-994a-0bea71054e79,mg-2021-987,Run ON,Run,2021-12-04,1968-06-30,L7A1H3,Female,she/her,U+1F3FC,53
005662ac-a2d6-4a91-9e40-e151ea3d8b61,mg-2021-960,Advance 2,Advance,2021-07-08,1965-05-29,T5X5P8,Male,he/him,NA,56
00574ae5-3c60-44d6-82cf-625105fec6e8,mg-2020-658,Active Alpha,Active,2020-12-30,1997-08-18,V2T2V7,Female,she/her,U+1F3FF,24
005c2675-dd07-453c-9cd2-ad8a2f676199,mg-2020-909,Run BE,Run,2020-11-20,1983-10-27,M3A2A8,Female,she/her,U+1F3FB,38
005cba1a-3de0-4c4a-9537-7140806d964a,mg-2021-987,Run ON,Run,2021-12-04,1980-05-11,M4M1R8,NA,NA,U+1F3FE,41
005d423c-7cd9-4cd3-a2bc-645db49a30a3,mg-2021-987,Run ON,Run,2021-12-04,1995-01-15,N5Y1M4,Female,she/her,U+1F3FE,27
005e38e0-5bed-4d15-833a-4b590fd39216,mg-2020-909,Run BE,Run,2020-11-20,1979-03-24,M3A1M4,Female,she/her,U+1F3FB,43
005e90b4-c66d-4213-b7b0-02a8300bd899,mg-2021-987,Run ON,Run,2021-12-04,1985-03-12,R2G3G5,Female,she/her,U+1F3FF,37
0064addd-883e-4ce9-98d7-94a5a807436b,mg-2020-827,Advance,Advance,2020-08-20,1979-07-07,T3H4L9,Female,she/her,NA,42
0066abb8-679e-4543-bcbf-5433a689c064,mg-2019-373,Active,Active,2019-10-13,1955-08-07,H3A1W8,Male,he/him,U+1F3FF,66
00686b4f-027e-4086-828d-69d2e4ce9422,mg-2021-960,Advance 2,Advance,2021-07-08,1994-06-08,H8N2R9,Male,he/him,U+1F3FF,27
00686d31-e75a-41cd-bcd9-71eb8966301d,mg-2021-960,Advance 2,Advance,2021-07-08,1956-08-14,M1W3M6,Female,she/her,U+1F3FC,65
006a9619-59ae-419c-bda4-f91d66f06b82,mg-2020-827,Advance,Advance,2020-08-20,1979-11-09,M9A2A8,Male,he/him,NA,42
006ccd32-c546-49be-9e53-2f3c3d80501d,mg-2019-427,Active HR,Active,2019-10-13,1985-07-19,T3E4J4,Male,he/him,U+1F3FB,36
006e0487-39cb-4219-b19d-b0cbcdc95071,mg-2021-960,Advance 2,Advance,2021-07-08,1974-10-13,M7Y3C4,Female,she/her,NA,47
006f8a73-e930-43bd-8e14-58260b0a409e,mg-2020-909,Run BE,Run,2020-11-20,1990-05-29,M3A3L7,Female,she/her,U+1F3FB,31
0070d6d4-f8bc-4db7-bd9c-404946dfbee0,mg-2020-658,Active Alpha,Active,2020-12-30,1940-01-27,H2N1M3,Male,he/him,U+1F3FE,82
0071e03f-9aa6-46e8-acca-6c212ecd35b8,mg-2021-987,Run ON,Run,2021-12-04,1963-05-04,J2X1S3,Female,she/her,U+1F3FF,58
00759fca-895a-4fa7-9864-70b3e2241d2f,mg-2021-960,Advance 2,Advance,2021-07-08,1979-06-10,M4S2G7,Male,he/him,U+1F3FF,42
0079400d-d8d7-4cb2-b0e4-9b3cee4e4674,mg-2021-960,Advance 2,Advance,2021-07-08,1993-03-20,L9G3A6,Male,he/him,U+1F3FE,29
00795abb-291d-4b6a-bc21-25af8a76ac41,mg-2020-909,Run BE,Run,2020-11-20,1992-11-19,G2G1B1,Female,she/her,U+1F3FE,29
007fef1d-547b-414e-a9d9-ba9b769999f2,mg-2020-658,Active Alpha,Active,2020-12-30,1991-02-27,M1H2G3,Male,he/him,U+1F3FF,31
0080e6fa-ed61-46cb-859c-a6f80a53952a,mg-2021-960,Advance 2,Advance,2021-07-08,1974-11-29,G2B2K5,Male,he/him,U+1F3FC,47
00811e0c-6a79-411b-9fa8-3a938d5c7259,mg-2020-909,Run BE,Run,2020-11-20,1984-06-16,M5V3N3,Female,she/her,U+1F3FE,37
